Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
2022-12-30 13:15:54.238355,2,3243,8491,0,0
2022-12-30 13:23:37.765400,3,3319,8558,5970,902
2022-12-30 13:31:14.085425,4,3330,8568,5970,902
2022-12-30 13:38:50.483496,5,3319,8549,5960,901
2022-12-30 13:46:27.036675,6,3318,8567,5961,903
2022-12-30 13:54:03.559574,7,3328,8566,5961,903
2022-12-30 14:01:39.713290,8,3319,8576,5961,902
2022-12-30 14:09:15.796338,9,3319,8576,5961,892
2022-12-30 14:16:51.800487,10,3319,8548,5960,902
2022-12-30 14:24:28.401230,11,3318,8566,5951,902
2022-12-30 14:51:12.735460,2,3318,8528,0,0
2022-12-30 14:55:52.191400,2,3338,8633,0,0
2022-12-30 15:03:36.192848,3,3319,8566,5961,902
2022-12-30 15:11:13.473298,4,3320,8568,5961,903
2022-12-30 15:19:53.366343,5,3318,8566,5959,897
2022-12-30 15:27:30.516156,6,3319,8548,5951,893
2022-12-30 15:35:07.225605,7,3318,8556,5952,894
2022-12-30 15:42:44.084358,8,3319,8548,5942,893
2022-12-30 15:50:21.318883,9,3319,8567,5951,892
2022-12-30 15:57:59.254351,10,3320,8549,5951,893
2022-12-30 16:05:37.083636,11,3309,8566,5951,892
2022-12-30 16:13:14.061168,12,3309,8565,5961,892
2022-12-30 16:20:51.105892,13,3319,8567,5951,893
2022-12-30 16:28:28.260251,14,3309,8576,5951,893
2022-12-30 16:36:05.057343,15,3319,8548,5951,893
2022-12-30 16:43:42.112308,16,3309,8558,5952,884
2022-12-30 16:51:19.032479,17,3309,8556,5951,893
2022-12-30 16:58:56.005474,18,3310,8548,5952,884
2022-12-30 17:06:32.868512,19,3310,8548,5942,874
2022-12-30 17:14:09.793672,20,3309,8557,5951,883
2022-12-30 17:21:46.846007,21,3309,8557,5943,884
2022-12-30 17:29:23.732501,22,3308,8537,5942,884
2022-12-30 17:37:00.624313,23,3309,8557,5942,884
2022-12-30 17:44:37.493027,24,3300,8549,5942,883
2022-12-30 17:52:14.442362,25,3299,8547,5942,884
2022-12-30 17:59:51.461109,26,3300,8558,5942,874
2022-12-30 18:07:28.077805,27,3299,8528,5942,874
2022-12-30 18:15:04.972578,28,3300,8548,5942,874
2022-12-30 18:22:42.442099,29,3300,8548,5943,875
2022-12-30 18:30:19.376950,30,3299,8547,5943,875
2022-12-30 18:37:56.519134,31,3300,8538,5942,874
2022-12-30 18:45:33.405646,32,3301,8539,5933,873
2022-12-30 18:53:10.112255,33,3300,8558,5942,874
2022-12-30 19:00:46.909816,34,3300,8538,5933,874
2022-12-30 19:08:23.825176,35,3300,8529,5941,874
2022-12-30 19:16:00.928672,36,3299,8547,5932,874
2022-12-30 19:23:37.877656,37,3297,8526,5932,873
2022-12-30 19:31:14.880015,38,3292,8529,5932,865
2022-12-30 19:38:51.774244,39,3290,8529,5923,865
2022-12-30 19:46:29.001447,40,3281,8519,5922,864
2022-12-30 19:54:06.045305,41,3280,8528,5914,864
2022-12-30 20:01:43.162771,42,3281,8519,5914,855
2022-12-30 20:09:19.982181,43,3282,8521,5914,855
2022-12-30 20:16:56.795569,44,3271,8547,5914,846
2022-12-30 20:24:33.656978,45,3271,8510,5904,856
2022-12-30 20:32:10.806554,46,3271,8519,5914,856
2022-12-30 20:39:47.619597,47,3271,8500,5913,845
2022-12-30 20:47:24.509906,48,3271,8500,5904,845
2022-12-30 20:55:01.463264,49,3271,8509,5914,846
2022-12-30 21:02:38.321994,50,3262,8491,5905,846
2022-12-30 21:10:15.068862,51,3261,8518,5905,837
2022-12-30 21:17:51.862716,52,3262,8519,5905,837
2022-12-30 21:25:28.721390,53,3263,8501,5895,836
2022-12-30 21:33:05.310546,54,3262,8510,5895,836
2022-12-30 21:40:42.245615,55,3253,8520,5895,837
2022-12-30 21:48:19.201755,56,3261,8481,5895,837
2022-12-30 21:55:56.205171,57,3253,8492,5895,836
2022-12-30 22:03:33.357231,58,3253,8491,5895,836
2022-12-30 22:11:10.088376,59,3263,8491,5896,837
2022-12-30 22:18:47.079798,60,3253,8501,5896,837
2022-12-30 22:26:23.892391,61,3253,8501,5895,837
2022-12-30 22:34:00.976769,62,3253,8520,5895,836
2022-12-30 22:41:37.827765,63,3253,8501,5895,836
2022-12-30 22:49:14.773462,64,3254,8493,5895,836
2022-12-30 22:57:10.697297,65,3257,8491,5890,835
2022-12-30 23:04:47.832506,66,3254,8502,5886,837
2022-12-30 23:12:24.344430,67,3253,8511,5895,836
2022-12-30 23:20:00.693500,68,3252,8491,5895,836
2022-12-30 23:27:37.149599,69,3244,8492,5885,827
2022-12-30 23:35:13.721991,70,3253,8501,5894,826
2022-12-30 23:42:50.244875,71,3244,8491,5886,828
2022-12-30 23:50:26.549636,72,3244,8482,5886,827
2022-12-30 23:58:03.056692,73,3244,8483,5885,827
2022-12-31 00:05:39.810490,74,3243,8500,5886,827
2022-12-31 00:13:16.414287,75,3243,8510,5886,828
2022-12-31 00:20:53.004610,76,3243,8481,5886,827
2022-12-31 00:28:29.611861,77,3244,8473,5876,826
2022-12-31 00:36:06.179684,78,3244,8502,5876,827
2022-12-31 00:43:42.556372,79,3243,8491,5885,825
2022-12-31 00:51:19.119260,80,3243,8482,5886,818
2022-12-31 00:58:55.615328,81,3243,8491,5877,828
2022-12-31 01:06:31.844609,82,3244,8482,5885,827
2022-12-31 01:14:08.121733,83,3243,8492,5876,826
2022-12-31 01:21:44.553975,84,3243,8481,5886,827
2022-12-31 01:29:20.967039,85,3243,8482,5886,827
2022-12-31 01:36:57.509761,86,3244,8482,5885,826
2022-12-31 01:44:34.028990,87,3244,8473,5877,827
2022-12-31 01:52:10.237756,88,3233,8462,5876,827
2022-12-31 01:59:46.577162,89,3234,8463,5886,827
2022-12-31 02:07:23.039843,90,3234,8473,5876,826
2022-12-31 02:14:59.810178,91,3234,8473,5876,827
2022-12-31 02:22:36.417564,92,3234,8473,5876,818
2022-12-31 02:30:12.766033,93,3234,8481,5876,817
2022-12-31 02:37:49.361831,94,3234,8463,5886,818
2022-12-31 02:45:25.983122,95,3225,8482,5876,817
2022-12-31 02:53:02.708887,96,3234,8472,5876,818
2022-12-31 03:00:39.160344,97,3224,8473,5876,808
2022-12-31 03:08:15.442142,98,3225,8483,5867,818
2022-12-31 03:15:52.076735,99,3224,8482,5876,817
2022-12-31 03:23:28.515805,100,3224,8472,5867,818
2022-12-31 03:31:04.997314,101,3224,8463,5866,817
2022-12-31 03:38:41.416265,102,3224,8463,5875,817
2022-12-31 03:46:17.837789,103,3224,8472,5876,818
2022-12-31 03:53:54.288964,104,3224,8472,5876,808
2022-12-31 04:01:30.829694,105,3224,8453,5876,817
2022-12-31 04:09:07.009024,106,3224,8473,5867,818
2022-12-31 04:16:43.653714,107,3224,8472,5866,817
2022-12-31 04:24:20.018592,108,3224,8472,5876,808
2022-12-31 04:31:56.507318,109,3215,8463,5867,818
2022-12-31 04:39:32.931388,110,3224,8463,5867,808
2022-12-31 04:47:09.436449,111,3225,8436,5866,817
2022-12-31 04:54:45.812835,112,3225,8454,5867,808
2022-12-31 05:02:22.496901,113,3215,8473,5876,818
2022-12-31 05:09:58.975410,114,3215,8482,5876,808
2022-12-31 05:17:35.444081,115,3224,8453,5867,808
2022-12-31 05:25:11.809226,116,3224,8463,5866,807
2022-12-31 05:32:48.413636,117,3215,8454,5866,807
2022-12-31 05:40:25.064272,118,3217,8456,5867,808
2022-12-31 05:48:01.327190,119,3215,8453,5866,807
2022-12-31 05:55:37.833630,120,3215,8472,5867,809
2022-12-31 06:03:14.138445,121,3214,8453,5867,808
2022-12-31 06:10:50.749182,122,3215,8463,5875,807
2022-12-31 06:18:27.261069,123,3216,8454,5867,808
2022-12-31 06:26:03.753628,124,3215,8473,5867,809
2022-12-31 06:33:41.083133,125,3214,8463,5866,807
2022-12-31 06:41:17.656998,126,3206,8444,5866,807
2022-12-31 06:48:54.216875,127,3215,8463,5857,799
2022-12-31 06:56:30.707958,128,3205,8444,5857,808
2022-12-31 07:04:06.982646,129,3207,8445,5858,808
2022-12-31 07:11:43.302746,130,3205,8444,5857,807
2022-12-31 07:19:20.073044,131,3206,8464,5866,807
2022-12-31 07:26:56.683314,132,3205,8444,5857,799
2022-12-31 07:34:33.233749,133,3206,8462,5857,807
2022-12-31 07:42:09.751177,134,3205,8435,5867,799
2022-12-31 07:49:46.158353,135,3206,8454,5866,808
2022-12-31 07:57:22.773517,136,3206,8454,5857,799
2022-12-31 08:04:59.283413,137,3206,8454,5858,798
2022-12-31 08:12:35.743365,138,3197,8445,5858,799
2022-12-31 08:20:12.437982,139,3206,8444,5857,799
2022-12-31 08:27:48.878104,140,3205,8453,5867,799
2022-12-31 08:35:25.311793,141,3196,8444,5867,799
2022-12-31 08:43:01.656710,142,3196,8453,5858,800
2022-12-31 08:50:39.452452,143,3206,8436,5858,798
2022-12-31 08:58:15.849274,144,3196,8434,5857,799
2022-12-31 09:05:52.063170,145,3196,8435,5858,799
2022-12-31 09:13:28.741855,146,3196,8444,5858,799
2022-12-31 09:21:05.228510,147,3196,8435,5857,799
2022-12-31 09:28:41.792225,148,3196,8453,5857,798
2022-12-31 09:36:17.829322,149,3188,8445,5848,799
2022-12-31 09:43:54.223857,150,3188,8427,5857,788
2022-12-31 09:51:30.685771,151,3187,8425,5857,789
2022-12-31 09:59:07.237888,152,3177,8435,5848,790
2022-12-31 10:06:43.585267,153,3187,8444,5848,790
2022-12-31 10:14:19.941669,154,3177,8434,5848,790
2022-12-31 10:21:57.260187,155,3178,8426,5848,789
2022-12-31 10:29:33.417613,156,3177,8444,5848,789
2022-12-31 10:37:09.932496,157,3186,8443,5848,789
2022-12-31 10:44:46.379134,158,3178,8435,5857,788
2022-12-31 10:52:22.665931,159,3178,8435,5848,789
2022-12-31 10:59:59.149695,160,3168,8425,5848,780
2022-12-31 11:07:36.156493,161,3168,8426,5847,778
2022-12-31 11:15:12.224892,162,3168,8425,5838,770
2022-12-31 11:22:48.468711,163,3168,8425,5829,779
2022-12-31 11:30:24.694171,164,3167,8407,5829,771
2022-12-31 11:38:01.061834,165,3168,8426,5829,779
2022-12-31 11:45:37.746446,166,3169,8399,5838,770
2022-12-31 11:53:13.843719,167,3168,8415,5839,771
2022-12-31 12:00:50.241652,168,3159,8397,5839,771
2022-12-31 12:08:26.638064,169,3159,8436,5829,771
2022-12-31 12:16:03.277038,170,3159,8408,5829,771
2022-12-31 12:23:39.845800,171,3159,8406,5829,771
2022-12-31 12:31:16.422951,172,3149,8406,5829,761
2022-12-31 12:38:52.863005,173,3159,8407,5820,763
2022-12-31 12:46:29.369130,174,3149,8389,5820,771
2022-12-31 12:54:05.930093,175,3151,8399,5829,770
2022-12-31 13:01:42.401943,176,3149,8406,5820,761
2022-12-31 13:09:18.789062,177,3149,8396,5819,761
2022-12-31 13:16:55.050588,178,3139,8397,5820,761
2022-12-31 13:24:31.320979,179,3139,8416,5820,752
2022-12-31 13:32:07.489820,180,3140,8388,5819,760
2022-12-31 13:39:43.828871,181,3140,8378,5820,762
2022-12-31 13:47:20.106466,182,3140,8397,5820,751
