Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
2023-01-04 18:03:23.098619,1,3336,8593,5962,895
2023-01-04 18:11:11.695737,2,3336,8602,5961,894
2023-01-04 18:18:59.791901,3,3336,8593,5970,894
2023-01-04 18:26:48.249586,4,3336,8583,5953,895
2023-01-04 18:34:36.478430,5,3336,8612,5961,885
2023-01-04 18:42:24.428893,6,3336,8593,5961,894
2023-01-04 18:50:12.759852,7,3336,8602,5971,894
2023-01-04 18:58:01.140618,8,3336,8593,5961,895
2023-01-04 19:05:49.209830,9,3326,8583,5961,895
2023-01-04 19:13:37.579104,10,3327,8584,5962,894
2023-01-04 19:22:38.955330,1,3637,8941,6271,1204
2023-01-04 19:30:27.221944,2,3637,8940,6272,1204
2023-01-04 19:38:15.601073,3,3637,8884,6262,1196
2023-01-04 19:46:04.361002,4,3637,8922,6272,1196
2023-01-04 19:53:53.160752,5,3637,8903,6262,1195
2023-01-04 20:01:41.800338,6,3636,8921,6262,1195
2023-01-04 20:09:30.579109,7,3636,8930,6263,1186
2023-01-04 20:17:19.420592,8,3627,8913,6263,1186
2023-01-04 20:25:08.240446,9,3627,8883,6262,1186
2023-01-04 20:32:57.395220,10,3627,8893,6254,1187
2023-01-04 20:41:59.978978,1,3646,8940,6281,1205
2023-01-04 20:49:48.827848,2,3646,8940,6272,1196
2023-01-04 20:57:37.705643,3,3637,8931,6263,1205
2023-01-04 21:05:26.632819,4,3637,8932,6263,1196
2023-01-04 21:13:15.349843,5,3637,8949,6272,1195
2023-01-04 21:21:04.258650,6,3637,8959,6263,1196
2023-01-04 21:28:52.758448,7,3636,8912,6263,1196
2023-01-04 21:36:41.719327,8,3637,8922,6262,1186
2023-01-04 21:44:30.648522,9,3637,8941,6254,1187
2023-01-04 21:52:19.557292,10,3636,8959,6263,1196
2023-01-04 22:01:21.950637,1,3646,8931,6272,1196
2023-01-04 22:09:10.937486,2,3637,8931,6263,1205
2023-01-04 22:17:00.142735,3,3637,8931,6263,1206
2023-01-04 22:24:49.149827,4,3636,8921,6263,1196
2023-01-04 22:32:37.857616,5,3637,8941,6263,1196
2023-01-04 22:40:26.476723,6,3636,8921,6263,1187
2023-01-04 22:48:15.356558,7,3636,8940,6253,1186
2023-01-04 22:56:04.376558,8,3636,8949,6253,1195
2023-01-04 23:03:54.364119,9,3627,8912,6263,1196
2023-01-04 23:11:43.005352,10,3637,8921,6263,1187
2023-01-04 23:20:45.232446,1,3646,8931,6272,1195
2023-01-04 23:28:33.978939,2,3646,8922,6272,1205
2023-01-04 23:36:22.745406,3,3646,8922,6272,1205
2023-01-04 23:44:11.813710,4,3637,8921,6263,1186
2023-01-04 23:52:00.542340,5,3637,8922,6262,1186
2023-01-04 23:59:49.460105,6,3636,8912,6254,1187
2023-01-05 00:07:53.519056,7,3638,8907,6262,1186
2023-01-05 00:17:03.142723,8,3637,8913,6262,1182
2023-01-05 00:25:10.348664,9,3641,8950,6258,1185
2023-01-05 00:33:04.146564,10,3646,8912,6253,1186
2023-01-05 00:42:05.500564,1,3646,8922,6272,1195
2023-01-05 00:49:52.878473,2,3637,8941,6262,1186
2023-01-05 00:57:40.223565,3,3647,8922,6271,1195
2023-01-05 01:05:27.657616,4,3646,8941,6262,1196
2023-01-05 01:13:15.155901,5,3637,8903,6271,1203
2023-01-05 01:21:02.511709,6,3637,8903,6272,1186
2023-01-05 01:28:49.959558,7,3637,8932,6271,1195
2023-01-05 01:36:37.349499,8,3637,8950,6263,1187
2023-01-05 01:44:24.817933,9,3637,8940,6262,1195
2023-01-05 01:52:12.326291,10,3637,8941,6272,1195
2023-01-05 02:01:13.200764,1,3647,8941,6263,1205
2023-01-05 02:09:00.834448,2,3646,8923,6271,1204
2023-01-05 02:16:48.423579,3,3646,8904,6272,1205
2023-01-05 02:24:36.124975,4,3646,8931,6263,1195
2023-01-05 02:32:23.793603,5,3637,8922,6272,1196
2023-01-05 02:40:11.388925,6,3646,8941,6272,1195
2023-01-05 02:47:58.823474,7,3637,8922,6253,1195
2023-01-05 02:55:46.219950,8,3637,8894,6263,1196
2023-01-05 03:03:33.286837,9,3637,8922,6262,1186
2023-01-05 03:11:20.944121,10,3637,8922,6262,1185
2023-01-05 03:20:21.937207,1,3646,8912,6272,1205
2023-01-05 03:28:09.054967,2,3646,8960,6263,1195
2023-01-05 03:35:56.402448,3,3637,8932,6263,1196
2023-01-05 03:43:43.939801,4,3637,8932,6263,1187
2023-01-05 03:51:31.487905,5,3637,8922,6263,1186
2023-01-05 03:59:18.795664,6,3627,8931,6253,1186
2023-01-05 04:07:06.173181,7,3628,8903,6253,1186
2023-01-05 04:14:53.560664,8,3627,8922,6254,1177
2023-01-05 04:22:41.178162,9,3628,8903,6253,1177
2023-01-05 04:30:28.725841,10,3628,8922,6243,1177
2023-01-05 04:39:29.238948,1,3646,8959,6272,1204
2023-01-05 04:47:16.441816,2,3647,8923,6272,1205
2023-01-05 04:55:03.749595,3,3647,8922,6262,1204
2023-01-05 05:02:51.021144,4,3637,8941,6262,1204
2023-01-05 05:10:38.539591,5,3637,8913,6263,1196
2023-01-05 05:18:25.998312,6,3637,8969,6263,1187
2023-01-05 05:26:13.197444,7,3637,8885,6253,1195
2023-01-05 05:34:00.956796,8,3637,8903,6262,1185
2023-01-05 05:41:48.386021,9,3628,8932,6262,1195
2023-01-05 05:49:36.202796,10,3627,8894,6253,1176
2023-01-05 05:58:37.328370,1,3646,8931,6262,1195
2023-01-05 06:06:26.005492,2,3636,8940,6271,1194
2023-01-05 06:14:13.432359,3,3646,8941,6271,1204
2023-01-05 06:22:00.499325,4,3637,8913,6262,1195
2023-01-05 06:29:47.267325,5,3637,8924,6262,1195
2023-01-05 06:37:34.583338,6,3637,8914,6272,1196
2023-01-05 06:45:21.648473,7,3627,8932,6262,1194
2023-01-05 06:53:09.174696,8,3627,8903,6253,1186
2023-01-05 07:00:57.821673,9,3618,8894,6253,1186
2023-01-05 07:08:44.999145,10,3618,8912,6253,1186
