Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
15:54.2,1,3243,8491,0,0
23:37.8,2,3319,8558,5970,902
31:14.1,3,3330,8568,5970,902
38:50.5,4,3319,8549,5960,901
46:27.0,5,3318,8567,5961,903
54:03.6,6,3328,8566,5961,903
01:39.7,7,3319,8576,5961,902
09:15.8,8,3319,8576,5961,892
16:51.8,9,3319,8548,5960,902
24:28.4,10,3318,8566,5951,902
51:12.7,11,3318,8528,5951,902
55:52.2,12,3338,8633,5951,902
03:36.2,13,3319,8566,5961,902
11:13.5,14,3320,8568,5961,903
19:53.4,15,3318,8566,5959,897
27:30.5,16,3319,8548,5951,893
35:07.2,17,3318,8556,5952,894
42:44.1,18,3319,8548,5942,893
50:21.3,19,3319,8567,5951,892
57:59.3,20,3320,8549,5951,893
05:37.1,21,3309,8566,5951,892
13:14.1,22,3309,8565,5961,892
20:51.1,23,3319,8567,5951,893
28:28.3,24,3309,8576,5951,893
36:05.1,25,3319,8548,5951,893
43:42.1,26,3309,8558,5952,884
51:19.0,27,3309,8556,5951,893
58:56.0,28,3310,8548,5952,884
06:32.9,29,3310,8548,5942,874
14:09.8,30,3309,8557,5951,883
21:46.8,31,3309,8557,5943,884
29:23.7,32,3308,8537,5942,884
37:00.6,33,3309,8557,5942,884
44:37.5,34,3300,8549,5942,883
52:14.4,35,3299,8547,5942,884
59:51.5,36,3300,8558,5942,874
07:28.1,37,3299,8528,5942,874
15:05.0,38,3300,8548,5942,874
22:42.4,39,3300,8548,5943,875
30:19.4,40,3299,8547,5943,875
37:56.5,41,3300,8538,5942,874
45:33.4,42,3301,8539,5933,873
53:10.1,43,3300,8558,5942,874
00:46.9,44,3300,8538,5933,874
08:23.8,45,3300,8529,5941,874
16:00.9,46,3299,8547,5932,874
23:37.9,47,3297,8526,5932,873
31:14.9,48,3292,8529,5932,865
38:51.8,49,3290,8529,5923,865
46:29.0,50,3281,8519,5922,864
54:06.0,51,3280,8528,5914,864
01:43.2,52,3281,8519,5914,855
09:20.0,53,3282,8521,5914,855
16:56.8,54,3271,8547,5914,846
24:33.7,55,3271,8510,5904,856
32:10.8,56,3271,8519,5914,856
39:47.6,57,3271,8500,5913,845
47:24.5,58,3271,8500,5904,845
55:01.5,59,3271,8509,5914,846
02:38.3,60,3262,8491,5905,846
10:15.1,61,3261,8518,5905,837
17:51.9,62,3262,8519,5905,837
25:28.7,63,3263,8501,5895,836
33:05.3,64,3262,8510,5895,836
40:42.2,65,3253,8520,5895,837
48:19.2,66,3261,8481,5895,837
55:56.2,67,3253,8492,5895,836
03:33.4,68,3253,8491,5895,836
11:10.1,69,3263,8491,5896,837
18:47.1,70,3253,8501,5896,837
26:23.9,71,3253,8501,5895,837
34:01.0,72,3253,8520,5895,836
41:37.8,73,3253,8501,5895,836
49:14.8,74,3254,8493,5895,836
57:10.7,75,3257,8491,5890,835
04:47.8,76,3254,8502,5886,837
12:24.3,77,3253,8511,5895,836
20:00.7,78,3252,8491,5895,836
27:37.1,79,3244,8492,5885,827
35:13.7,80,3253,8501,5894,826
42:50.2,81,3244,8491,5886,828
50:26.5,82,3244,8482,5886,827
58:03.1,83,3244,8483,5885,827
05:39.8,84,3243,8500,5886,827
13:16.4,85,3243,8510,5886,828
20:53.0,86,3243,8481,5886,827
28:29.6,87,3244,8473,5876,826
36:06.2,88,3244,8502,5876,827
43:42.6,89,3243,8491,5885,825
51:19.1,90,3243,8482,5886,818
58:55.6,91,3243,8491,5877,828
06:31.8,92,3244,8482,5885,827
14:08.1,93,3243,8492,5876,826
21:44.6,94,3243,8481,5886,827
29:21.0,95,3243,8482,5886,827
36:57.5,96,3244,8482,5885,826
44:34.0,97,3244,8473,5877,827
52:10.2,98,3233,8462,5876,827
59:46.6,99,3234,8463,5886,827
07:23.0,100,3234,8473,5876,826
14:59.8,101,3234,8473,5876,827
22:36.4,102,3234,8473,5876,818
30:12.8,103,3234,8481,5876,817
37:49.4,104,3234,8463,5886,818
45:26.0,105,3225,8482,5876,817
53:02.7,106,3234,8472,5876,818
00:39.2,107,3224,8473,5876,808
08:15.4,108,3225,8483,5867,818
15:52.1,109,3224,8482,5876,817
23:28.5,110,3224,8472,5867,818
31:05.0,111,3224,8463,5866,817
38:41.4,112,3224,8463,5875,817
46:17.8,113,3224,8472,5876,818
53:54.3,114,3224,8472,5876,808
01:30.8,115,3224,8453,5876,817
09:07.0,116,3224,8473,5867,818
16:43.7,117,3224,8472,5866,817
24:20.0,118,3224,8472,5876,808
31:56.5,119,3215,8463,5867,818
39:32.9,120,3224,8463,5867,808
47:09.4,121,3225,8436,5866,817
54:45.8,122,3225,8454,5867,808
02:22.5,123,3215,8473,5876,818
09:59.0,124,3215,8482,5876,808
17:35.4,125,3224,8453,5867,808
25:11.8,126,3224,8463,5866,807
32:48.4,127,3215,8454,5866,807
40:25.1,128,3217,8456,5867,808
48:01.3,129,3215,8453,5866,807
55:37.8,130,3215,8472,5867,809
03:14.1,131,3214,8453,5867,808
10:50.7,132,3215,8463,5875,807
18:27.3,133,3216,8454,5867,808
26:03.8,134,3215,8473,5867,809
33:41.1,135,3214,8463,5866,807
41:17.7,136,3206,8444,5866,807
48:54.2,137,3215,8463,5857,799
56:30.7,138,3205,8444,5857,808
04:07.0,139,3207,8445,5858,808
11:43.3,140,3205,8444,5857,807
19:20.1,141,3206,8464,5866,807
26:56.7,142,3205,8444,5857,799
34:33.2,143,3206,8462,5857,807
42:09.8,144,3205,8435,5867,799
49:46.2,145,3206,8454,5866,808
57:22.8,146,3206,8454,5857,799
04:59.3,147,3206,8454,5858,798
12:35.7,148,3197,8445,5858,799
20:12.4,149,3206,8444,5857,799
27:48.9,150,3205,8453,5867,799
35:25.3,151,3196,8444,5867,799
43:01.7,152,3196,8453,5858,800
50:39.5,153,3206,8436,5858,798
58:15.8,154,3196,8434,5857,799
05:52.1,155,3196,8435,5858,799
13:28.7,156,3196,8444,5858,799
21:05.2,157,3196,8435,5857,799
28:41.8,158,3196,8453,5857,798
36:17.8,159,3188,8445,5848,799
43:54.2,160,3188,8427,5857,788
51:30.7,161,3187,8425,5857,789
59:07.2,162,3177,8435,5848,790
06:43.6,163,3187,8444,5848,790
14:19.9,164,3177,8434,5848,790
21:57.3,165,3178,8426,5848,789
29:33.4,166,3177,8444,5848,789
37:09.9,167,3186,8443,5848,789
44:46.4,168,3178,8435,5857,788
52:22.7,169,3178,8435,5848,789
59:59.1,170,3168,8425,5848,780
07:36.2,171,3168,8426,5847,778
15:12.2,172,3168,8425,5838,770
22:48.5,173,3168,8425,5829,779
30:24.7,174,3167,8407,5829,771
38:01.1,175,3168,8426,5829,779
45:37.7,176,3169,8399,5838,770
53:13.8,177,3168,8415,5839,771
00:50.2,178,3159,8397,5839,771
08:26.6,179,3159,8436,5829,771
16:03.3,180,3159,8408,5829,771
23:39.8,181,3159,8406,5829,771
31:16.4,182,3149,8406,5829,761
38:52.9,183,3159,8407,5820,763
46:29.4,184,3149,8389,5820,771
54:05.9,185,3151,8399,5829,770
01:42.4,186,3149,8406,5820,761
09:18.8,187,3149,8396,5819,761
16:55.1,188,3139,8397,5820,761
24:31.3,189,3139,8416,5820,752
32:07.5,190,3140,8388,5819,760
39:43.8,191,3140,8378,5820,762
47:20.1,192,3140,8397,5820,751
54:56.5,193,3140,8378,5810,752
02:32.5,194,3140,8397,5819,751
10:08.6,195,3131,8370,5820,761
17:45.2,196,3139,8360,5811,752
25:21.9,197,3131,8388,5820,751
32:58.3,198,3132,8389,5820,751
40:34.8,199,3130,8378,5820,752
48:11.7,200,3130,8350,5811,743
55:48.3,201,3131,8359,5810,752
03:24.8,202,3131,8388,5801,752
11:01.3,203,3131,8369,5819,742
18:38.0,204,3130,8387,5809,741
26:14.3,205,3131,8378,5801,742
33:50.7,206,3130,8369,5811,743
41:27.4,207,3121,8360,5811,743
49:04.0,208,3131,8369,5811,742
56:40.6,209,3130,8378,5792,743
04:17.2,210,3121,8378,5791,742
11:53.8,211,3130,8378,5801,742
23:34.0,212,3328,8623,5801,742
23:34.0,213,3328,8623,5801,742
23:57.9,214,3328,8623,5970,921
23:34.0,215,3328,8623,5970,921
23:57.9,216,3328,8623,5970,921
24:17.2,217,3328,8623,5988,929
23:34.0,218,3328,8623,5988,929
23:57.9,219,3328,8623,5970,921
24:17.2,220,3328,8623,5988,929
24:37.6,221,3328,8623,5980,912
23:34.0,222,3328,8623,5980,912
23:57.9,223,3328,8623,5970,921
24:17.2,224,3328,8623,5988,929
24:37.6,225,3328,8623,5980,912
24:57.7,226,3328,8623,5970,921
23:34.0,227,3328,8623,5970,921
23:57.9,228,3328,8623,5970,921
24:17.2,229,3328,8623,5988,929
24:37.6,230,3328,8623,5980,912
