Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
59:11.8,1,3332,8648,5961,903
06:57.6,2,3333,8639,5961,893
14:43.0,3,3333,8620,5959,891
22:28.9,4,3322,8619,5951,883
30:14.6,5,3323,8629,5951,903
38:00.4,6,3323,8630,5960,893
45:46.2,7,3322,8609,5950,884
53:31.8,8,3323,8590,5951,892
01:17.9,9,3314,8651,5940,881
10:16.8,10,3333,8630,5950,882
18:02.6,11,3322,8600,5951,893
25:48.3,12,3322,8589,5961,903
33:35.0,13,3323,8630,5970,902
41:21.0,14,3323,8580,5951,883
49:06.9,15,3313,8611,5941,889
58:05.9,16,3333,8620,5971,903
05:52.7,17,3333,8590,5960,893
13:38.4,18,3322,8629,5950,892
21:23.9,19,3323,8610,5951,884
29:09.5,20,3314,8581,5941,882
38:08.5,21,3323,8610,5960,892
45:54.3,22,3333,8590,5951,883
53:40.4,23,3322,8629,5951,883
01:26.4,24,3324,8611,5941,891
10:25.4,25,3323,8650,5970,913
18:11.4,26,3322,8639,5950,893
25:57.5,27,3313,8619,5951,884
33:43.2,28,3313,8571,5931,862
42:41.9,29,3333,8620,5960,903
50:27.9,30,3323,8621,5941,873
59:26.9,31,3332,8609,5951,884
07:12.7,32,3322,8599,5950,892
14:58.5,33,3324,8622,5941,892
23:57.6,34,3332,8619,5961,893
31:43.4,35,3322,8629,5951,894
39:29.3,36,3322,8609,5951,893
47:15.3,37,3324,8622,5931,872
56:14.3,38,3333,8630,5951,883
04:00.1,39,3333,8639,5951,893
11:45.4,40,3322,8628,5950,902
19:31.8,41,3322,8599,5950,882
27:17.4,42,3314,8602,5941,872
36:16.6,43,3332,8630,5961,913
44:02.7,44,3324,8611,5941,882
53:01.5,45,3332,8619,5951,883
00:47.6,46,3323,8610,5970,912
08:33.3,47,3322,8650,5961,893
16:19.0,48,3323,8610,5961,904
24:04.9,49,3322,8619,5951,883
31:51.6,50,3322,8609,5950,892
39:37.3,51,3312,8569,5950,893
47:23.0,52,3313,8601,5941,882
56:21.9,53,3332,8619,5951,883
04:08.6,54,3333,8640,5951,893
11:54.1,55,3323,8630,5951,883
19:39.8,56,3322,8609,5971,913
27:25.5,57,3323,8609,5961,904
35:11.2,58,3322,8639,5970,903
42:57.0,59,3312,8600,5951,903
50:42.7,60,3313,8619,5949,901
